Date,Close,High,Low,Open,Volume,Ticker
,3MINDIA.NS,3MINDIA.NS,3MINDIA.NS,3MINDIA.NS,3MINDIA.NS,
2024-01-01,36511.546875,37348.19706493814,36257.629710641944,36850.2211040723,10350,3MINDIA
2024-01-02,35489.703125,36784.68971784165,35007.763506573145,36719.70384959868,9804,3MINDIA
2024-01-03,34098.15625,36304.337547547766,33396.95553594283,35754.673249505286,18794,3MINDIA
2024-01-04,34182.86328125,34592.09836774974,34061.5555596781,34548.5254713832,6087,3MINDIA
2024-01-05,34556.49609375,34634.23092571967,33712.97532237558,34186.05252409282,4835,3MINDIA
2024-01-08,33932.68359375,34961.64984111004,33676.07422800051,34559.53422316756,5414,3MINDIA
2024-01-09,34016.73828125,34647.175855017565,33863.16327122535,34199.993436973906,3829,3MINDIA
2024-01-10,33908.82421875,34188.98626646267,33496.65185896887,33962.955760719844,5599,3MINDIA
2024-01-11,33960.6171875,34308.5545756831,33862.36807864681,34249.793407546626,1428,3MINDIA
2024-01-12,33953.39453125,34228.87639500341,33803.65549080366,34228.87639500341,1700,3MINDIA
2024-01-15,34374.68359375,34606.195744736,33862.3674494544,33953.995031964696,3579,3MINDIA
2024-01-16,34196.20703125,34559.282075888776,33961.95992155008,34427.01888496904,1705,3MINDIA
2024-01-17,34206.3671875,34529.05562533886,33724.52873742262,34196.20925550736,3171,3MINDIA
2024-01-18,33954.7421875,34279.173548055485,33564.5779956424,34199.99536489613,3290,3MINDIA
2024-01-19,33778.70703125,34345.25586584006,33668.35477483187,34110.35903742426,2994,3MINDIA
2024-01-23,33391.9765625,34708.924570414085,33170.17884699114,34708.924570414085,4424,3MINDIA
2024-01-24,34331.41015625,34509.63498513591,33469.21530451423,34049.60632135552,4769,3MINDIA
2024-01-25,33910.421875,34615.40803755617,33812.56959333446,34027.695220202215,2771,3MINDIA
2024-01-29,33587.6328125,34121.264667864045,33320.56984203873,34121.264667864045,2703,3MINDIA
2024-01-30,33519.3125,33922.07392527509,33433.112077885555,33722.93410459665,1639,3MINDIA
2024-01-31,34269.06640625,34518.75079347598,33519.31296582512,33519.31296582512,4845,3MINDIA
2024-02-01,33667.01171875,34360.34210922248,33563.580553066604,34311.392627291076,2999,3MINDIA
2024-02-02,32735.74609375,33901.20828262174,32667.223821792442,33861.26905342079,5414,3MINDIA
2024-02-05,32249.869140625,32841.51516770024,32070.648367403046,32841.51516770024,6870,3MINDIA
2024-02-06,32989.1640625,33632.30000759474,32280.04630344858,32449.05856428113,6875,3MINDIA
2024-02-07,33835.125,33862.36584163869,33185.418088474325,33364.389873379296,7492,3MINDIA
2024-02-08,32978.0625,34447.13832843579,32766.819532794492,33916.844484631576,6665,3MINDIA
2024-02-09,32510.51171875,33748.828202318946,31895.311024363513,33748.828202318946,7037,3MINDIA
2024-02-12,31663.953125,32764.629845401527,31572.67373693446,32567.530559397455,3434,3MINDIA
2024-02-13,31343.75390625,31863.14285324504,31074.697095287356,31696.171118153907,4281,3MINDIA
2024-02-14,30821.974609375,31472.03168222869,30710.179000721488,31352.1692516604,3942,3MINDIA
2024-02-15,30663.716796875,31048.20482483535,30384.202493372453,30821.97395059896,4826,3MINDIA
2024-02-16,30772.275390625,31073.700635351066,30675.419064125388,30862.360411040398,1961,3MINDIA
2024-02-19,30793.240234375,31538.011913068294,30675.319137995608,31098.697910171435,8782,3MINDIA
2024-02-20,31257.552734375,31388.570989613207,30874.510008920948,30985.060673791602,3214,3MINDIA
2024-02-21,30883.72265625,31392.40510895942,30783.878474391713,31372.486070184703,2801,3MINDIA
2024-02-22,30392.12109375,31150.388711402124,30288.092746873135,31150.388711402124,9309,3MINDIA
2024-02-23,30256.671875,31058.761384332814,30127.645522522926,30675.319885760804,4440,3MINDIA
2024-02-26,30618.103515625,30822.72106644737,30296.909010521947,30444.060911697066,2454,3MINDIA
2024-02-27,31119.6640625,31284.743096360984,30692.25089890761,30692.25089890761,3400,3MINDIA
2024-02-28,30545.296875,31318.853899414316,30276.938407889873,31318.853899414316,3537,3MINDIA
2024-02-29,31848.203125,32249.620389577434,30446.2509796118,30673.526435529817,5454,3MINDIA
2024-03-01,31585.96875,32144.34960712222,31372.48683576607,32144.34960712222,7287,3MINDIA
2024-03-04,30531.90234375,31707.17619597439,30426.331439247213,31707.12562029048,4602,3MINDIA
2024-03-05,29993.740234375,30760.773004983854,29883.588339576483,30691.155575790286,15807,3MINDIA
2024-03-06,30200.947265625,30420.755027375162,29994.188030550475,30077.7487879156,2769,3MINDIA
2024-03-07,30357.1640625,30653.409192670377,30143.481793013245,30203.139704009052,2582,3MINDIA
2024-03-11,29979.99609375,30523.587451164283,29879.605303394685,30192.532630885238,1471,3MINDIA
2024-03-12,30718.34375,31006.422845384048,29884.0861730774,30324.744325854856,3630,3MINDIA
2024-03-13,30124.111328125,30774.91535385556,29784.042366573936,30718.344504826382,6237,3MINDIA
2024-03-14,30011.169921875,30322.90288254377,29280.9873599421,30124.11126216422,4529,3MINDIA
2024-03-15,29474.650390625,30246.365340969383,29280.988305582538,30126.55153930497,21361,3MINDIA
2024-03-18,29396.6171875,29500.943155061534,29122.78097483765,29475.198186000584,1842,3MINDIA
2024-03-19,29558.7578125,29982.43614809626,29085.18267478083,29627.577701093283,6670,3MINDIA
2024-03-20,29917.349609375,30077.748446645637,29141.55362744541,29558.758282194427,7617,3MINDIA
2024-03-21,29927.609375,30214.19455092473,29756.65383235946,30214.19455092473,8054,3MINDIA
2024-03-22,30604.009765625,30774.91472827617,30022.473042929483,30077.748375208426,2103,3MINDIA
2024-03-26,30363.736328125,30874.509887330223,30197.013585689696,30874.509887330223,2225,3MINDIA
2024-03-27,31347.6875,31529.298952906473,30057.680709289758,30663.369289625087,9289,3MINDIA
2024-03-28,31067.078125,31347.687593727525,30906.432238694662,31347.687593727525,6634,3MINDIA
2024-04-01,30409.599609375,31322.638568776772,30306.818145182388,30675.320370411355,3789,3MINDIA
2024-04-02,30155.0859375,30696.236058246603,29730.312416886063,30675.32106661028,5529,3MINDIA
2024-04-03,30146.568359375,30438.183864346865,30077.799045319807,30154.436768713764,2567,3MINDIA
2024-04-04,30203.736328125,30476.129182089095,29879.55397359003,30373.54613288141,5277,3MINDIA
2024-04-05,30225.59765625,30376.534954743747,30077.749365024956,30077.749365024956,1553,3MINDIA
2024-04-08,29869.1484375,30432.756106913144,29835.733470477226,30225.598095034144,5893,3MINDIA
2024-04-09,29928.35546875,30316.179538976125,29835.183387697445,30077.69768242758,16194,3MINDIA
2024-04-10,29730.0625,30226.0952023455,29649.489598074702,30225.149826078974,2535,3MINDIA
2024-04-12,29491.232421875,30027.951317215495,29381.677707284827,30027.951317215495,1897,3MINDIA
2024-04-15,29068.15234375,29490.136394790312,28883.601674613772,29490.136394790312,3467,3MINDIA
2024-04-16,29639.130859375,29837.774640234085,28790.033203073086,29068.15278133089,4399,3MINDIA
2024-04-18,29266.296875,29878.507757152376,29132.092350488343,29821.09268373102,2183,3MINDIA
2024-04-19,29540.43359375,29629.520719944678,28882.607313388176,29261.069064391195,1820,3MINDIA
2024-04-22,29711.087890625,30368.515363863014,29552.93189288668,29669.059497695485,3303,3MINDIA
2024-04-23,29635.24609375,29864.614601535763,29560.003092497725,29711.088222335744,1215,3MINDIA
2024-04-24,30160.8125,30575.725704721306,29784.889259017084,29878.559320574564,6752,3MINDIA
2024-04-25,29854.2578125,30177.39559986538,29744.105912445582,30079.79230572777,4976,3MINDIA
2024-04-26,29846.63671875,30296.260382513305,29380.581793439476,29860.03343927512,4523,3MINDIA
2024-04-29,29902.51171875,30201.64549585068,29480.177519142533,29846.637258560768,7846,3MINDIA
2024-04-30,30344.763671875,30476.07954939965,29814.967802248775,29921.38488065162,6040,3MINDIA
2024-05-02,29612.888671875,30476.130034872578,29480.2286486342,30476.130034872578,11917,3MINDIA
2024-05-03,29576.5859375,30075.75626478073,29232.334765195086,29765.019263833263,13550,3MINDIA
2024-05-06,29475.498046875,29739.72293676667,29392.435263727573,29611.992096912978,1531,3MINDIA
2024-05-07,29505.275390625,29760.88685161762,29002.171811421107,29505.07697831937,2882,3MINDIA
2024-05-08,29006.302734375,29627.776745395957,28883.950427498974,29568.81716859168,4658,3MINDIA
2024-05-09,28717.92578125,29233.08191836693,28509.124069544963,29081.796430767263,5379,3MINDIA
2024-05-10,28578.14453125,28748.152749327808,28498.616212662695,28748.152749327808,1520,3MINDIA
2024-05-13,28810.748046875,29052.814944890142,28384.63039678662,28598.7600646922,4917,3MINDIA
2024-05-14,28762.49609375,29231.091501863197,28609.71667047764,28810.749189250364,4462,3MINDIA
2024-05-15,28503.19921875,29080.800769728754,28383.58383427808,28825.48887830671,2795,3MINDIA
2024-05-16,29884.68359375,30178.339633235348,28570.12624348693,28570.12624348693,31105,3MINDIA
2024-05-17,30190.142578125,30793.839259650293,29778.9136166724,29992.895455681086,11068,3MINDIA
2024-05-21,31407.494140625,31561.617703000862,30376.53410315882,31010.955487542826,6497,3MINDIA
2024-05-22,31063.044921875,31527.158530420398,30990.091441561803,31378.86089607107,6537,3MINDIA
2024-05-23,30718.39453125,31173.196371590046,30675.319610044335,31083.908891538515,2398,3MINDIA
2024-05-24,30567.80859375,30959.515338403755,30476.13043635968,30745.03746962168,2085,3MINDIA
2024-05-27,30816.84375,31472.080912212863,30426.331388231105,30562.776802312535,5199,3MINDIA
2024-05-28,33777.26171875,34458.940227306106,30173.0109528573,31122.450744097518,113543,3MINDIA
2024-05-29,33358.1640625,35401.359392202365,32819.501919403614,34360.23951387087,77574,3MINDIA
2024-05-30,33863.21484375,34344.2596416859,32692.123172351614,33015.80756019668,20394,3MINDIA
2024-05-31,33249.85546875,34260.746686386105,33050.81291765434,33863.214026285685,16302,3MINDIA
2024-06-03,33678.96484375,34323.194057787136,33264.796650239616,33961.96304710092,12641,3MINDIA
2024-06-04,32221.5859375,33862.315618634544,30330.5221783393,33693.05436334775,17091,3MINDIA
2024-06-05,33016.50390625,33264.7955082961,31775.79675042785,32667.22433150036,4946,3MINDIA
2024-06-06,33848.37109375,34276.630415760716,33115.451638139544,33165.198658039175,9949,3MINDIA
2024-06-07,33615.71875,34161.15025318838,33406.81783846629,33746.83426177945,6699,3MINDIA
2024-06-10,34021.96875,34390.221995960215,33617.81065694117,34061.557841350696,4893,3MINDIA
2024-06-11,35482.28125,36300.55690761623,34239.58223579183,34276.63086930811,26727,3MINDIA
2024-06-12,36086.92578125,36252.6506279457,35357.289833590665,35482.281802101854,10280,3MINDIA
2024-06-13,36745.25,36949.816972291635,35659.16440948022,36451.841002314664,9335,3MINDIA
2024-06-14,36341.5390625,37245.614429463814,36155.09763877458,36800.42391551964,9355,3MINDIA
2024-06-18,36918.49609375,37097.21889628263,36392.08490308654,36392.08490308654,6367,3MINDIA
2024-06-19,36781.0546875,37348.19875693619,36514.43912406129,37245.61570435047,10351,3MINDIA
2024-06-20,36886.625,37046.92268838733,36372.26639311757,36850.22217811227,3562,3MINDIA
2024-06-21,37811.76171875,38103.575628807,36942.84425168649,37149.00629735816,19263,3MINDIA
2024-06-24,38012.3515625,38194.75861231841,37049.41382994119,38092.72410957585,4404,3MINDIA
2024-06-25,37709.62890625,38345.14742488885,37348.19948659339,38144.96107564071,3597,3MINDIA
2024-06-26,37032.1328125,38173.39653542264,36910.03143243337,38044.3701766554,8346,3MINDIA
2024-06-27,37315.08203125,37724.56611173023,36909.978583093674,37547.337243599075,5831,3MINDIA
2024-06-28,36655.31640625,37723.52548545952,36377.89320284197,37713.414238553,7102,3MINDIA
2024-07-01,37703.85546875,37844.183547340544,36900.02106502887,37199.405788063435,6475,3MINDIA
2024-07-02,38751.1953125,40691.11132150616,37802.35265671529,37979.184705595246,34347,3MINDIA
2024-07-03,39252.30859375,39547.70559413821,37945.76753264851,39008.44821394342,18456,3MINDIA
2024-07-04,39365.19921875,39798.09206788961,39043.9074540836,39325.36114076751,11808,3MINDIA
2024-07-05,38768.1015625,39449.94921875,38600.0,39000.0,8303,3MINDIA
2024-07-08,39294.69921875,39398.44921875,38370.0,38629.0,7139,3MINDIA
2024-07-09,40020.6015625,40181.0,39115.80078125,39294.69921875,7073,3MINDIA
2024-07-10,39347.30078125,40120.0,38801.05078125,40000.0,6583,3MINDIA
2024-07-11,39430.75,39849.94921875,39339.8515625,39800.0,7095,3MINDIA
2024-07-12,38646.0,39784.6484375,38237.8984375,39649.94921875,2374,3MINDIA
2024-07-15,39002.3984375,40100.05078125,38557.69921875,40000.0,4253,3MINDIA
2024-07-16,38772.0,39586.94921875,38560.1015625,38989.0,3361,3MINDIA
2024-07-18,38114.6484375,39099.94921875,37992.0,38994.5,2711,3MINDIA
2024-07-19,37515.5,38381.69921875,37313.69921875,38278.44921875,2875,3MINDIA
