Date,Close,High,Low,Open,Volume,Ticker
,BAYERCROP.NS,BAYERCROP.NS,BAYERCROP.NS,BAYERCROP.NS,BAYERCROP.NS,
2024-01-01,5387.81103515625,5509.761502855893,5339.373489403655,5508.830765805568,39511,BAYERCROP
2024-01-02,5371.30615234375,5468.474433618562,5349.217647492353,5406.960652293019,22552,BAYERCROP
2024-01-03,5400.88720703125,5436.248040306057,5358.620936254628,5398.095952476561,65403,BAYERCROP
2024-01-04,5378.3095703125,5460.834285751889,5352.10736095934,5400.103931363258,70705,BAYERCROP
2024-01-05,5477.73095703125,5485.322251218204,5377.574849854989,5377.574849854989,21551,BAYERCROP
2024-01-08,5498.3994140625,5520.585489687365,5404.463358466094,5489.485669017107,12356,BAYERCROP
2024-01-09,5717.958984375,5770.11852457508,5473.861940144573,5504.227118477014,50923,BAYERCROP
2024-01-10,5830.8486328125,5842.847775351991,5713.354796796628,5730.202763756772,42159,BAYERCROP
2024-01-11,5730.986328125,5862.389568750077,5701.79676790316,5830.89755821023,12240,BAYERCROP
2024-01-12,5678.63134765625,5758.511166796533,5634.944575528808,5730.203079717271,5839,BAYERCROP
2024-01-15,5664.8681640625,5759.5393274789285,5632.250279841657,5721.974571260429,6965,BAYERCROP
2024-01-16,5846.619140625,5873.213063426211,5662.664648633784,5664.868572815357,16823,BAYERCROP
2024-01-17,5857.88330078125,5888.395309239071,5761.743331628258,5867.335590508531,19463,BAYERCROP
2024-01-18,5669.5703125,5877.130889421647,5563.194147745041,5877.130889421647,20178,BAYERCROP
2024-01-19,5636.2666015625,5763.849318650188,5604.040429332671,5749.596989196253,7363,BAYERCROP
2024-01-23,5691.11962890625,5729.81073948324,5615.010594762209,5658.354433826305,10473,BAYERCROP
2024-01-24,5856.6591796875,5876.151568815103,5639.400946733345,5753.613289918338,24814,BAYERCROP
2024-01-25,5738.13720703125,5875.6619829948,5686.173284453403,5863.564792149572,7950,BAYERCROP
2024-01-29,5747.78515625,5764.583859518015,5640.086542678124,5738.08750777287,10657,BAYERCROP
2024-01-30,5635.923828125,5805.429892464023,5604.824009477515,5776.485213193162,9893,BAYERCROP
2024-01-31,5879.138671875,6039.731463486026,5642.045609743676,5642.045609743676,53895,BAYERCROP
2024-02-01,5943.15087890625,5968.226734352511,5813.462279399664,5967.24721248572,19657,BAYERCROP
2024-02-02,5670.10888671875,5867.433748636925,5608.8887729791995,5867.433748636925,109361,BAYERCROP
2024-02-05,5600.95458984375,5699.935557400976,5558.786366517212,5603.844370545369,19572,BAYERCROP
2024-02-06,5609.6728515625,5694.9400373132985,5549.04006640673,5600.954724469613,12737,BAYERCROP
2024-02-07,5676.23095703125,5718.301610942761,5614.031320826023,5632.250522520519,12230,BAYERCROP
2024-02-08,5645.86572265625,5754.690692514961,5624.610386131478,5676.2801621366125,16429,BAYERCROP
2024-02-09,5711.73828125,5725.304753439381,5623.87546533073,5645.865442127879,6650,BAYERCROP
2024-02-12,5836.333984375,5872.233363744634,5671.431388837603,5711.738616436903,22638,BAYERCROP
2024-02-13,5900.6884765625,5933.943435062616,5783.58682937062,5865.768617867663,28410,BAYERCROP
2024-02-14,5832.7587890625,5926.303123132242,5790.933015919509,5885.55491965067,6625,BAYERCROP
2024-02-15,5753.07470703125,5868.609021339197,5705.714730308653,5828.203745352033,11252,BAYERCROP
2024-02-16,5732.21044921875,5797.251080395189,5682.2060518491535,5753.074550858672,6386,BAYERCROP
2024-02-19,5991.00048828125,6015.537319201203,5702.7761852071835,5702.7761852071835,17835,BAYERCROP
2024-02-20,5986.5439453125,6034.834181715686,5921.405741598152,5945.795740264837,33297,BAYERCROP
2024-02-21,5947.26513671875,6074.260052685897,5877.131274519715,5932.082547592908,20838,BAYERCROP
2024-02-22,5900.78662109375,5950.5954042076255,5849.312937757874,5926.10735727673,9042,BAYERCROP
2024-02-23,5805.919921875,5918.467369944581,5779.179165523667,5918.467369944581,5261,BAYERCROP
2024-02-26,5800.38525390625,5876.0533140337,5739.997829732809,5781.137745918607,7602,BAYERCROP
