Date,Close,High,Low,Open,Volume,Ticker
,CHOLAHLDNG.NS,CHOLAHLDNG.NS,CHOLAHLDNG.NS,CHOLAHLDNG.NS,CHOLAHLDNG.NS,
2024-01-01,1019.28759765625,1037.6310508845174,997.8951797162518,1029.6338944229797,448796,CHOLAHLDNG
2024-01-02,1005.8424072265625,1018.6378458848372,1002.1437100093713,1018.6378458848372,137045,CHOLAHLDNG
2024-01-03,1012.2901000976562,1015.6888550338967,1001.6938310278811,1013.9394770331448,100086,CHOLAHLDNG
2024-01-04,1042.2794189453125,1056.0744405784858,1009.0412375148683,1018.6378008307548,533581,CHOLAHLDNG
2024-01-05,1039.680419921875,1054.2251757040026,1029.6339428339372,1049.6268349278,103112,CHOLAHLDNG
2024-01-08,1025.185546875,1058.623609234088,1004.6428019643612,1051.975948377894,329029,CHOLAHLDNG
2024-01-09,1020.4871215820312,1034.6821475072231,1012.6899062403224,1025.1855242159654,323858,CHOLAHLDNG
2024-01-10,1013.0897827148438,1038.3307466216368,1005.5924485801147,1026.7849252703077,134484,CHOLAHLDNG
2024-01-11,1012.1901245117188,1030.5835484888412,1005.1926123325662,1021.736718210584,92224,CHOLAHLDNG
2024-01-12,1015.7388305664062,1020.2372311641554,1005.6424447412874,1016.58856506517,95198,CHOLAHLDNG
2024-01-15,1015.9387817382812,1028.6342801980343,1012.6399668033126,1012.7899378967736,63132,CHOLAHLDNG
2024-01-16,1020.8870239257812,1024.5856600486954,1012.6399561682413,1024.5856600486954,101838,CHOLAHLDNG
2024-01-17,1018.8377685546875,1036.6314298832601,1011.6403153730561,1020.9369977681594,77987,CHOLAHLDNG
2024-01-18,1016.9384155273438,1030.3336162451112,1004.8427405564058,1017.838120051629,54316,CHOLAHLDNG
2024-01-19,1029.48388671875,1043.5788500755164,1018.6377680589333,1028.6342132803163,98919,CHOLAHLDNG
2024-01-23,1038.730712890625,1049.6268637867502,1015.6389462927029,1033.5825186295224,171536,CHOLAHLDNG
2024-01-24,1085.214111328125,1097.4098481919846,1019.6374525130619,1030.1337204065787,374942,CHOLAHLDNG
2024-01-25,1101.1085205078125,1110.5551131122013,1079.6661927730615,1091.6118968629426,519335,CHOLAHLDNG
2024-01-29,1136.7957763671875,1149.3913957942536,1104.6072694527295,1114.6037153301297,535052,CHOLAHLDNG
2024-01-30,1161.5870361328125,1175.332149512181,1140.5444682939892,1140.5444682939892,566389,CHOLAHLDNG
2024-01-31,1179.3306884765625,1190.2767477724406,1164.5859309813056,1164.5859309813056,846954,CHOLAHLDNG
2024-02-01,1174.33251953125,1185.9784037813174,1151.6406354257772,1175.5820753085763,199522,CHOLAHLDNG
2024-02-02,1142.6937255859375,1184.278916821912,1101.6083566533448,1174.3325017953873,577962,CHOLAHLDNG
2024-02-05,1150.9407958984375,1177.6313801686729,1130.5980525154162,1146.5923662556872,286502,CHOLAHLDNG
2024-02-06,1157.638427734375,1174.5823541602147,1140.8443503705064,1168.5844868198221,306405,CHOLAHLDNG
2024-02-07,1154.889404296875,1183.5291232032312,1135.1464243169125,1171.1835373426647,121612,CHOLAHLDNG
2024-02-08,1147.0421142578125,1170.8837348992538,1119.751890683892,1153.289892826969,150212,CHOLAHLDNG
2024-02-09,1122.200927734375,1165.5855248485293,1094.960614224836,1129.698261727826,71365,CHOLAHLDNG
2024-02-12,1133.796875,1140.9943894535395,1084.6144086886686,1135.8461952741932,111681,CHOLAHLDNG
2024-02-13,1113.3040771484375,1134.7964347924376,1089.7124903725007,1133.7967902508562,70404,CHOLAHLDNG
2024-02-14,1099.9588623046875,1113.3040927160243,1094.610788337828,1109.6054566712228,95947,CHOLAHLDNG
2024-02-15,1088.31298828125,1112.8543111442004,1073.6182619976387,1100.1088429500944,49522,CHOLAHLDNG
2024-02-16,1074.9677734375,1099.9588879082046,1062.6221872943572,1089.7125309752157,73423,CHOLAHLDNG
2024-02-19,1079.566162109375,1084.6144162677533,1064.6715548439254,1069.6197469184294,176549,CHOLAHLDNG
2024-02-20,1055.02490234375,1085.6140017444234,1049.6267972667076,1085.6140017444234,243984,CHOLAHLDNG
2024-02-21,1042.529296875,1059.6732248405085,1031.6831782117335,1059.5232537567563,345890,CHOLAHLDNG
2024-02-22,1045.3282470703125,1063.3718798350387,1035.8316239366507,1054.5250500580116,159221,CHOLAHLDNG
2024-02-23,1044.8284912109375,1056.2744951420286,1029.6339420420595,1054.6250571401677,64740,CHOLAHLDNG
2024-02-26,1087.563232421875,1095.6104198087942,1033.1826668704211,1057.5239871022122,374874,CHOLAHLDNG
2024-02-27,1079.6661376953125,1102.2080489283483,1059.6232157933582,1091.611841175799,85714,CHOLAHLDNG
2024-02-28,1055.6746826171875,1095.5604027967718,1049.9766354294445,1085.913930448866,289093,CHOLAHLDNG
2024-02-29,1051.42626953125,1069.619752967209,1030.6836434807176,1056.6243727909718,113256,CHOLAHLDNG
2024-03-01,1076.567138671875,1086.413735013598,1047.6274780461586,1063.6718217258592,33866,CHOLAHLDNG
2024-03-04,1069.2198486328125,1083.7647264943564,1062.6222186234152,1069.6197308815188,54929,CHOLAHLDNG
2024-03-05,1038.5806884765625,1075.3676578630816,1033.2326143743321,1071.5689596450327,131633,CHOLAHLDNG
2024-03-06,1041.079833984375,1048.6271996275475,1007.641770471466,1045.6282657868585,53718,CHOLAHLDNG
2024-03-07,1079.6661376953125,1101.608286607812,1030.7334640894567,1040.6299694725337,52311,CHOLAHLDNG
2024-03-11,1095.2606201171875,1101.6083388622333,1079.7661289625917,1092.8114176540141,163326,CHOLAHLDNG
2024-03-12,1084.814208984375,1102.6079306561403,1066.720667165937,1102.6079306561403,124931,CHOLAHLDNG
2024-03-13,1048.97705078125,1084.6144056582648,1011.7402889280054,1084.6144056582648,302011,CHOLAHLDNG
2024-03-14,1030.7835693359375,1047.17776543008,1002.1936967340516,1029.7839247207694,246119,CHOLAHLDNG
2024-03-15,1034.632080078125,1067.6703803348655,1013.8394862270729,1028.7841840308934,239672,CHOLAHLDNG
2024-03-18,1029.6839599609375,1046.5778559304229,1005.6924287590324,1046.5778559304229,213659,CHOLAHLDNG
2024-03-19,1011.740234375,1029.6338963973878,998.9947662399837,1029.6338963973878,178369,CHOLAHLDNG
2024-03-20,1000.0944213867188,1033.632484478268,988.6984488932754,1009.7409548707257,63140,CHOLAHLDNG
2024-03-21,1050.426513671875,1052.6256828119012,1003.1432789190342,1009.6409683191076,69977,CHOLAHLDNG
2024-03-22,1087.0634765625,1097.709716007865,1042.6793537356796,1044.2787606978022,186103,CHOLAHLDNG
2024-03-26,1084.2144775390625,1093.6111609139089,1058.3236587390977,1082.9649218250383,66136,CHOLAHLDNG
2024-03-27,1095.6605224609375,1107.6062267272328,1071.5190807491774,1084.2145184721924,72256,CHOLAHLDNG
2024-03-28,1111.10498046875,1122.6008934470592,1082.4152290640893,1107.6062243449167,85097,CHOLAHLDNG
2024-04-01,1141.7440185546875,1146.8421812264487,1114.8535564286747,1127.5489930845235,81187,CHOLAHLDNG
2024-04-02,1156.73876953125,1196.9744645503192,1130.5980389209285,1154.5895092428582,189681,CHOLAHLDNG
2024-04-03,1168.2845458984375,1170.5837771921633,1144.7928987899695,1149.6911815286094,35954,CHOLAHLDNG
2024-04-04,1149.241455078125,1184.5788677834084,1144.59308321688,1178.5810000984293,87689,CHOLAHLDNG
2024-04-05,1139.44482421875,1164.5859092399148,1133.6469590026368,1137.595506193153,44427,CHOLAHLDNG
2024-04-08,1124.3001708984375,1160.637347729035,1111.9545851736461,1139.4448101598675,43368,CHOLAHLDNG
2024-04-09,1104.107421875,1136.545839193559,1063.6718480376542,1124.3001932741668,130843,CHOLAHLDNG
2024-04-10,1098.3594970703125,1114.0039593634344,1083.1649480604067,1110.7551144346712,87444,CHOLAHLDNG
2024-04-12,1075.017822265625,1124.600169790561,1069.719657099396,1097.6097657155876,425125,CHOLAHLDNG
2024-04-15,1085.9638671875,1106.5565211701235,1065.0712710195232,1075.0178078260037,120003,CHOLAHLDNG
2024-04-16,1069.86962890625,1112.2545841835113,1060.0730630543376,1087.1134981878504,85692,CHOLAHLDNG
2024-04-18,1061.9224853515625,1101.6083263371484,1057.723904902543,1060.6228985877626,80311,CHOLAHLDNG
2024-04-19,1044.02880859375,1071.618974195641,1033.282629514829,1071.568943156597,123471,CHOLAHLDNG
2024-04-22,1058.3236083984375,1079.21620334852,1041.1798024390362,1050.5763633399965,67328,CHOLAHLDNG
2024-04-23,1100.858642578125,1118.602334660542,1051.6761758703108,1070.6694237331797,89633,CHOLAHLDNG
2024-04-24,1100.5087890625,1128.298836345449,1091.4120474052288,1114.1539625618727,39464,CHOLAHLDNG
2024-04-25,1093.461181640625,1112.1546081987005,1081.6154179657015,1101.6083092404835,30974,CHOLAHLDNG
2024-04-26,1084.46435546875,1111.504789102854,1080.3658372576583,1104.6072173673026,34060,CHOLAHLDNG
2024-04-29,1095.71044921875,1110.6051785388336,1078.2166682786694,1084.6144182849996,181053,CHOLAHLDNG
2024-04-30,1076.4173583984375,1131.6477227694616,1070.7193109394775,1100.9585602104908,256277,CHOLAHLDNG
2024-05-02,1142.643798828125,1150.290982329572,1082.6651233537002,1083.3147947164643,547087,CHOLAHLDNG
2024-05-03,1144.3431396484375,1164.5359114717776,1139.7447989589264,1145.5926953807464,228419,CHOLAHLDNG
2024-05-06,1122.9007568359375,1151.540475189582,1111.7046648092428,1148.5915726172166,75855,CHOLAHLDNG
2024-05-07,1099.2591552734375,1139.5947885141456,1084.6143381910947,1139.5947885141456,95514,CHOLAHLDNG
2024-05-08,1090.9122314453125,1111.4548553364014,1082.6651632635705,1094.2610165440274,128624,CHOLAHLDNG
2024-05-09,1085.8138427734375,1123.450483840712,1071.8188193135047,1095.6104080061587,78403,CHOLAHLDNG
2024-05-10,1071.7188720703125,1098.4593631445825,1061.1226644986025,1093.4611405138778,62987,CHOLAHLDNG
2024-05-13,1076.3172607421875,1087.613293204809,1039.6303537987144,1074.617913782325,78499,CHOLAHLDNG
2024-05-14,1068.1202392578125,1088.6129532538678,1064.6214832097055,1079.5661209472776,28892,CHOLAHLDNG
2024-05-15,1076.0174560546875,1089.6626290498284,1067.6204171325294,1077.6168629858303,96017,CHOLAHLDNG
2024-05-16,1116.552978515625,1119.6019433327936,1076.6172258655524,1076.6172258655524,92112,CHOLAHLDNG
2024-05-17,1123.700439453125,1134.5965896978996,1104.657283564659,1110.6551509991855,45745,CHOLAHLDNG
2024-05-21,1130.1981201171875,1134.596580605979,1100.0089030827585,1122.0010834997906,202194,CHOLAHLDNG
2024-05-22,1124.7000732421875,1148.5916026993696,1118.5023257633695,1130.1981183377893,96583,CHOLAHLDNG
2024-05-23,1116.952880859375,1129.5984095844453,1100.3087736932978,1123.2006596734482,173088,CHOLAHLDNG
2024-05-24,1118.202392578125,1129.1485738453882,1093.561129500611,1114.8035766317566,117541,CHOLAHLDNG
2024-05-27,1120.20166015625,1145.3927760735935,1101.458324813103,1101.458324813103,96822,CHOLAHLDNG
2024-05-28,1120.0018310546875,1170.7337943601606,1105.506984395981,1123.2006449548032,187435,CHOLAHLDNG
