Date,Close,High,Low,Open,Volume,Ticker
,GODREJPROP.NS,GODREJPROP.NS,GODREJPROP.NS,GODREJPROP.NS,GODREJPROP.NS,
2024-01-01,2002.050048828125,2022.0,1995.0,2015.0,208868,GODREJPROP
2024-01-02,2016.0,2028.0,1982.5,2007.949951171875,402722,GODREJPROP
2024-01-03,2052.35009765625,2060.0,2007.1500244140625,2016.0,639760,GODREJPROP
2024-01-04,2216.14990234375,2236.800048828125,2055.0,2063.949951171875,3733260,GODREJPROP
2024-01-05,2244.300048828125,2252.89990234375,2200.0,2210.0,868364,GODREJPROP
2024-01-08,2161.300048828125,2264.35009765625,2152.949951171875,2225.0,841774,GODREJPROP
2024-01-09,2241.0,2260.0,2180.0,2180.0,1274126,GODREJPROP
2024-01-10,2210.89990234375,2235.050048828125,2170.050048828125,2235.050048828125,818268,GODREJPROP
2024-01-11,2248.800048828125,2260.0,2211.0,2219.89990234375,554300,GODREJPROP
2024-01-12,2273.800048828125,2285.0,2232.050048828125,2250.0,639680,GODREJPROP
2024-01-15,2311.35009765625,2331.699951171875,2279.25,2289.0,644928,GODREJPROP
2024-01-16,2304.14990234375,2316.699951171875,2266.199951171875,2309.949951171875,526525,GODREJPROP
2024-01-17,2318.89990234375,2327.35009765625,2274.050048828125,2290.0,572136,GODREJPROP
2024-01-18,2315.60009765625,2323.0,2230.0,2314.949951171875,822600,GODREJPROP
2024-01-19,2343.39990234375,2357.199951171875,2305.75,2331.89990234375,497480,GODREJPROP
2024-01-23,2268.949951171875,2334.75,2254.0,2324.949951171875,2334333,GODREJPROP
2024-01-24,2266.39990234375,2282.449951171875,2223.35009765625,2251.0,1032225,GODREJPROP
2024-01-25,2326.89990234375,2334.89990234375,2266.39990234375,2267.050048828125,948389,GODREJPROP
2024-01-29,2430.39990234375,2444.0,2333.0,2335.10009765625,1572046,GODREJPROP
2024-01-30,2373.14990234375,2453.699951171875,2336.550048828125,2453.699951171875,757442,GODREJPROP
2024-01-31,2377.14990234375,2409.35009765625,2361.25,2373.14990234375,433742,GODREJPROP
2024-02-01,2355.10009765625,2377.0,2330.050048828125,2376.0,397334,GODREJPROP
2024-02-02,2375.550048828125,2413.75,2357.199951171875,2364.0,399672,GODREJPROP
2024-02-05,2322.85009765625,2390.550048828125,2316.10009765625,2375.75,743288,GODREJPROP
2024-02-06,2300.39990234375,2352.0,2281.5,2344.0,1356658,GODREJPROP
2024-02-07,2294.60009765625,2379.800048828125,2290.0,2347.949951171875,915444,GODREJPROP
2024-02-08,2216.75,2305.10009765625,2208.949951171875,2300.0,720663,GODREJPROP
2024-02-09,2256.800048828125,2265.449951171875,2175.35009765625,2232.0,599951,GODREJPROP
2024-02-12,2259.14990234375,2297.35009765625,2233.39990234375,2275.0,1276835,GODREJPROP
2024-02-13,2279.14990234375,2285.949951171875,2217.449951171875,2271.800048828125,355382,GODREJPROP
