Date,Close,High,Low,Open,Volume,Ticker
,JKCEMENT.NS,JKCEMENT.NS,JKCEMENT.NS,JKCEMENT.NS,JKCEMENT.NS,
2024-01-01,3813.585693359375,3851.2512784498754,3763.0660939368577,3774.7742964004506,118855,JKCEMENT
2024-01-02,3837.699462890625,3851.2013106416707,3726.6958392132933,3831.3223266778377,96592,JKCEMENT
2024-01-03,3833.564208984375,3879.151462882883,3815.37912956038,3836.3044264318264,36876,JKCEMENT
2024-01-04,3886.126708984375,3918.0627476446903,3809.2013776558333,3833.5643541384966,69306,JKCEMENT
2024-01-05,3916.617919921875,3936.2477931891553,3880.247760016167,3901.073315913588,44675,JKCEMENT
2024-01-08,3992.845703125,4025.6285711604924,3884.482557799826,3940.8810695414095,136123,JKCEMENT
2024-01-09,4014.866943359375,4065.4364112052754,3981.2370016884565,4026.923997533956,167588,JKCEMENT
2024-01-10,4038.532470703125,4060.3547122200057,3981.785106491022,4014.86695611875,95936,JKCEMENT
2024-01-11,4031.158935546875,4063.4934534852837,4010.283509005004,4062.4970107551503,49277,JKCEMENT
2024-01-12,4033.55029296875,4057.2656785543754,4013.721179986401,4031.1589277299267,96568,JKCEMENT
2024-01-15,4062.2978515625,4082.6750571441044,4003.7069692122795,4016.6607249613485,85342,JKCEMENT
2024-01-16,4115.30859375,4126.219836576337,4066.4828985699155,4107.337051679782,148785,JKCEMENT
2024-01-17,4021.244384765625,4115.308481315402,4010.9311051851873,4068.6749128242745,82923,JKCEMENT
2024-01-18,3979.792236328125,4041.12333459347,3935.8490149276104,4021.244350920723,133513,JKCEMENT
2024-01-19,4038.83154296875,4055.073608313587,3998.326242825769,4029.6144476076297,108210,JKCEMENT
2024-01-23,3934.105224609375,4096.8742401040545,3919.258325401744,4005.6997312947337,486197,JKCEMENT
2024-01-24,4123.2802734375,4140.070431792143,3975.906481804509,4035.5933077384907,475953,JKCEMENT
2024-01-25,4152.62548828125,4224.917214395699,4082.6750133685796,4160.148436344822,218617,JKCEMENT
2024-01-29,4290.8818359375,4317.586306218618,4190.04163804507,4259.792628452479,312673,JKCEMENT
2024-01-30,4315.5439453125,4402.533203224971,4292.725016982645,4314.597130077321,234056,JKCEMENT
2024-01-31,4347.8779296875,4394.312256280407,4315.543656372278,4315.543656372278,211081,JKCEMENT
2024-02-01,4391.2236328125,4425.302170839466,4344.490563282388,4388.184676921514,239930,JKCEMENT
2024-02-02,4350.66845703125,4452.155760188922,4339.5081037998525,4422.063481567914,131550,JKCEMENT
2024-02-05,4301.94189453125,4390.575667735073,4277.479420747741,4350.867328642557,87366,JKCEMENT
2024-02-06,4324.1630859375,4388.284274664525,4301.942120528005,4334.525993302279,144256,JKCEMENT
2024-02-07,4326.255859375,4379.366065506182,4284.7040003814745,4325.558154803717,89413,JKCEMENT
2024-02-08,4199.009765625,4353.159654296401,4187.550673953266,4344.49040771832,66828,JKCEMENT
2024-02-09,4216.1982421875,4242.354863483198,4118.596483534978,4242.354863483198,100175,JKCEMENT
2024-02-12,4219.7353515625,4272.198448955667,4181.2730525759225,4234.8814752210055,79254,JKCEMENT
2024-02-13,4216.39794921875,4262.134575003905,4140.219704916103,4219.735643259219,88384,JKCEMENT
2024-02-14,4175.69287109375,4232.340735832014,4142.062930007691,4200.00597563674,102024,JKCEMENT
