Date,Close,High,Low,Open,Volume,Ticker
,RVNL.NS,RVNL.NS,RVNL.NS,RVNL.NS,RVNL.NS,
2024-01-01,181.29440307617188,184.88045229379517,180.39789837158213,181.1947846869365,13833701,RVNL
2024-01-02,180.09906005859375,182.68897100656068,176.8118507788354,181.69284790358134,7909774,RVNL
2024-01-03,184.58160400390625,188.26725624496606,182.04148718924628,182.19089956673096,45596593,RVNL
2024-01-04,184.7808380126953,187.66958896915938,183.78471489672393,185.92637351620942,15879759,RVNL
2024-01-05,183.93411254882812,186.17538938020928,182.29051561900113,185.62753387002113,10233509,RVNL
2024-01-08,181.39401245117188,184.7808247220194,180.59711097578676,184.73101552987694,8211288,RVNL
2024-01-09,184.58160400390625,186.47423171699248,181.14498252507522,182.34032714384713,11569461,RVNL
2024-01-10,196.6346893310547,198.42771390968235,182.14111071959152,185.278892332466,72587866,RVNL
2024-01-11,199.025390625,204.6036706467446,197.78023679876708,199.97170449301072,51040633,RVNL
2024-01-12,202.46202087402344,206.19748251376555,197.7802453254731,200.02152230931839,29429746,RVNL
2024-01-15,219.7945556640625,229.75578665177676,202.76085979485043,203.458142924064,136773825,RVNL
2024-01-16,222.68331909179688,231.05074694097877,218.15095600697666,224.12769452771573,68897751,RVNL
2024-01-17,239.46798706054688,244.94666410826815,215.21239870541467,222.53389436759014,114133165,RVNL
2024-01-18,242.6555938720703,250.42534191260788,226.16975348419146,246.64008628245153,105611386,RVNL
2024-01-19,290.120849609375,291.16676669289626,244.05015675295064,244.7972490695413,178930889,RVNL
2024-01-23,287.6305236816406,344.16050539223147,287.2320805511981,330.71284454477814,80917623,RVNL
2024-01-24,297.6913757324219,304.36538184177584,264.12201722072894,287.6305269773445,53922343,RVNL
2024-01-25,300.7793884277344,308.59893060510655,296.9443083335349,298.83693618283985,27527924,RVNL
2024-01-29,297.8905944824219,307.5032065098969,292.1628867807257,304.56463126845165,17198256,RVNL
2024-01-30,295.1014709472656,303.0206618209994,287.4811352456955,299.6338189320662,16994531,RVNL
2024-01-31,307.054931640625,308.3498794521535,294.25474430665383,296.4960211799431,21529178,RVNL
2024-02-01,296.39642333984375,317.66365811374953,293.4578783640654,310.79041463908436,34481062,RVNL
2024-02-02,293.4080505371094,300.82917988266246,285.98695159082115,299.0859644363225,17179265,RVNL
2024-02-05,280.2592468261719,293.8065273831884,276.922228283194,293.8065273831884,15716341,RVNL
2024-02-06,284.09429931640625,287.18225637913446,266.1640848394756,280.4086319586656,17061913,RVNL
2024-02-07,279.76116943359375,290.17063724369416,279.01407713337903,287.92936034304995,9794286,RVNL
2024-02-08,280.6078796386719,288.7760705341068,278.167365969121,281.25535355122713,9231980,RVNL
2024-02-09,258.2449035644531,271.79218327391646,249.52882678069628,256.9997497382021,35310986,RVNL
2024-02-12,228.70986938476562,257.6970576169398,225.27323253689804,257.6970576169398,32239387,RVNL
2024-02-13,244.7474365234375,255.40595038757294,222.63350729512342,227.61412267085325,52120543,RVNL
2024-02-14,247.88523864746094,252.1685558027671,235.08505077739804,240.06566625997002,22348631,RVNL
2024-02-15,258.3943176269531,261.7811299765651,247.2377423109958,249.1801792526742,18846018,RVNL
2024-02-16,250.72418212890625,258.7429761525797,249.7778682204402,257.99588382490134,10975697,RVNL
2024-02-19,265.2177734375,280.2094138232755,253.01526555164318,253.31410551938652,51506679,RVNL
2024-02-20,266.2138977050781,268.2061438993163,260.13754073279875,266.5625468689227,15398431,RVNL
2024-02-21,259.34063720703125,272.5392673681033,258.04565902714216,267.55865221298177,13483046,RVNL
2024-02-22,260.3367614746094,262.27918315477547,252.51718956407447,260.88461698456996,12248384,RVNL
2024-02-23,263.57415771484375,270.8458436161194,261.9803547997079,262.97647782176006,14200106,RVNL
2024-02-26,265.9150695800781,271.7921896990648,262.578051166986,265.51659602684725,14614169,RVNL
2024-02-27,265.865234375,275.8762892071814,264.47066819319355,267.35941894106327,18452082,RVNL
2024-02-28,257.9958801269531,269.3516772650434,256.0036339483666,267.3096370916979,10945242,RVNL
2024-02-29,243.3030548095703,259.29081759231593,239.9162425215517,259.29081759231593,31125179,RVNL
2024-03-01,245.24549865722656,248.33348627753904,243.60190165909273,244.4485971552461,10474862,RVNL
