Date,Close,High,Low,Open,Volume,Ticker
,SHREECEM.NS,SHREECEM.NS,SHREECEM.NS,SHREECEM.NS,SHREECEM.NS,
2024-01-01,28304.263671875,28591.069782963463,28194.275457975553,28591.069782963463,5760,SHREECEM
2024-01-02,27933.27734375,28451.84399254089,27795.49247086745,28451.84399254089,16850,SHREECEM
2024-01-03,28065.740234375,28277.811388891656,27865.503685152802,27933.27734058354,9011,SHREECEM
2024-01-04,28201.13671875,28340.461851563217,28019.247409214462,28282.782478014524,14453,SHREECEM
2024-01-05,26873.916015625,28093.88454349049,26782.473149688296,28044.11044288313,78459,SHREECEM
2024-01-08,27178.5703125,27447.425411717657,26801.06915436096,26833.8867282228,34058,SHREECEM
2024-01-09,27161.912109375,27582.97190283358,27085.73594984233,27348.971886424722,18242,SHREECEM
2024-01-10,26693.765625,27241.519609331623,26651.84824386727,27241.519609331623,14247,SHREECEM
2024-01-11,26761.19140625,26989.97047008781,26452.9555823263,26820.91022764437,19750,SHREECEM
2024-01-12,26725.439453125,26900.46651808556,26603.119402044613,26877.892781524704,14382,SHREECEM
2024-01-15,26665.47265625,26806.042825028737,26577.910563469446,26802.014436562935,11395,SHREECEM
2024-01-16,26932.390625,27196.821126731615,26485.67456522922,26741.352936149375,26736,SHREECEM
2024-01-17,25992.513671875,26938.106948516415,25917.9282747219,26810.913596105718,48405,SHREECEM
2024-01-18,26330.783203125,26450.964749012288,25508.205346724008,26103.794982057174,28106,SHREECEM
2024-01-19,26502.1796875,26631.95827431096,26309.89892838016,26471.797793119953,52520,SHREECEM
2024-01-23,27341.763671875,28009.302980435896,27263.250886927817,27447.426318481474,38128,SHREECEM
2024-01-24,27482.3828125,27705.791331971213,27067.985171741326,27302.233824294057,46946,SHREECEM
2024-01-25,27794.298828125,28093.33577102411,27119.6972169067,27546.822925809687,25490,SHREECEM
2024-01-29,28254.4921875,28690.51766605159,27767.59713452833,27843.973362300243,35863,SHREECEM
2024-01-30,27922.533203125,28541.34333875355,27844.269042050597,28277.75778649358,30799,SHREECEM
2024-01-31,28398.390625,28541.34597286058,27857.496923829192,27944.662781790325,63061,SHREECEM
2024-02-01,29449.845703125,30567.830296607906,29040.66905235468,29336.92263584463,174274,SHREECEM
2024-02-02,28296.65625,29535.669323518276,28217.44810776778,29336.924479535257,64360,SHREECEM
2024-02-05,26805.794921875,28839.73880107077,26551.606322163596,28839.688300538994,71596,SHREECEM
2024-02-06,27416.99609375,27760.68522031722,27080.913123939532,27100.35582800876,58072,SHREECEM
2024-02-07,27960.87109375,28051.068918261248,27551.894524365274,27690.971031288027,19792,SHREECEM
2024-02-08,27267.38671875,28143.882645800753,27145.49669935143,28019.451426821473,32063,SHREECEM
2024-02-09,27526.310546875,27720.47881821307,27097.826553653027,27346.887459477046,25267,SHREECEM
2024-02-12,27163.080078125,27605.511475022806,27059.96886475697,27526.310108232872,17053,SHREECEM
2024-02-13,27147.2890625,27396.69825179093,26892.449178264415,27197.39894673852,19098,SHREECEM
2024-02-14,26797.408203125,27184.799088227475,26676.415194779904,26998.201881410743,22415,SHREECEM
2024-02-15,26233.984375,27042.934205687237,26151.39538859606,27042.934205687237,21511,SHREECEM
2024-02-16,26199.21484375,26549.892599662995,26152.889515198993,26440.305800940187,27371,SHREECEM
2024-02-19,26714.5703125,26793.372787757606,26159.71130259892,26326.731922087973,23096,SHREECEM
2024-02-20,26425.263671875,26699.279321276354,26313.285496072418,26649.517729103158,20365,SHREECEM
2024-02-21,26246.0390625,26618.38512815228,26125.493580375783,26589.743123102107,23910,SHREECEM
2024-02-22,26503.41796875,26549.89312392009,26108.95607605536,26246.089402868103,18526,SHREECEM
2024-02-23,26390.14453125,26679.253644157685,26201.85449182496,26201.85449182496,14216,SHREECEM
2024-02-26,26001.658203125,26350.643113104605,25875.03603123632,26241.254787953043,28996,SHREECEM
2024-02-27,26092.916015625,26407.33010947868,26002.008786300587,26091.620120617936,21987,SHREECEM
2024-02-28,25510.2109375,26190.99357048565,25326.00511804414,26092.91417241984,32860,SHREECEM
2024-02-29,25408.595703125,25735.96096147011,25348.521435630082,25628.267417289215,56138,SHREECEM
2024-03-01,25541.49609375,25798.674834012152,25408.446976677962,25592.502990045978,18817,SHREECEM
2024-03-04,25633.6484375,25748.714577600807,25324.513258550192,25693.123404327675,29764,SHREECEM
2024-03-05,24915.802734375,25704.179697803753,24861.20780818363,25704.179697803753,47317,SHREECEM
2024-03-06,24661.26171875,25032.911150697662,24366.124569202762,24915.801943929135,33596,SHREECEM
2024-03-07,24613.095703125,24937.871124071145,24492.94911140504,24756.603429478055,73323,SHREECEM
2024-03-11,25217.16796875,25263.643123514925,24508.640273327328,24508.640273327328,53262,SHREECEM
2024-03-12,24866.638671875,25264.68662724703,24674.462895915207,25264.68662724703,20622,SHREECEM
2024-03-13,24268.841796875,25070.46957911161,24156.665159423945,25070.46957911161,35720,SHREECEM
2024-03-14,24863.849609375,24949.726977679555,24152.531658171665,24268.84310187333,22932,SHREECEM
2024-03-15,24976.275390625,25047.4075751219,24410.609423733673,24841.03531755357,30859,SHREECEM
2024-03-18,25248.0,25309.916928835846,24856.277795186365,25002.029012036175,92583,SHREECEM
2024-03-19,24911.517578125,25353.3515939528,24703.602326895154,25247.99883820581,16822,SHREECEM
2024-03-20,24842.181640625,25095.17888107982,24756.65451308455,25095.17888107982,18326,SHREECEM
2024-03-21,25266.1328125,25304.587426281494,24833.912916031975,25095.277035192626,17006,SHREECEM
2024-03-22,25270.765625,25394.198649808124,25137.218392755203,25303.59107314479,12712,SHREECEM
2024-03-26,25587.669921875,25691.12942844965,24964.219911501237,25378.308944482953,38595,SHREECEM
2024-03-27,25841.91015625,26235.128659248774,25653.271826173237,25730.282232145346,27139,SHREECEM
2024-03-28,25586.373046875,25992.990237435777,25488.891005511265,25992.990237435777,26276,SHREECEM
2024-04-01,26358.61328125,26386.30963176347,25703.084989653413,25752.947760361447,20317,SHREECEM
2024-04-02,26433.232421875,26622.219056040278,25934.51326075439,26358.613386461162,41507,SHREECEM
2024-04-03,26255.302734375,26642.841483683736,26186.361511755113,26501.075245145737,150756,SHREECEM
2024-04-04,25812.921875,26369.57301104293,25753.89443909746,26369.57301104293,85718,SHREECEM
2024-04-05,25714.09375,25840.51550424233,25602.463878041577,25703.084480075984,39306,SHREECEM
2024-04-08,25857.701171875,26151.343973695773,25747.31854819702,25971.272942553773,31828,SHREECEM
2024-04-09,25894.1640625,26611.459423522054,25782.882489712967,26100.584949189957,50143,SHREECEM
2024-04-10,25513.798828125,25944.125476744808,25455.02045519023,25902.333835659898,24321,SHREECEM
2024-04-12,25395.39453125,25764.551416644532,25106.7816031086,25602.46336699723,19756,SHREECEM
2024-04-15,25201.177734375,25432.257615489536,24908.083632098263,25220.904136877034,24121,SHREECEM
2024-04-16,24789.08203125,25153.35694789625,24705.397568634773,25153.35694789625,12999,SHREECEM
2024-04-18,24334.095703125,25004.717453853278,24275.467157976127,24995.751261690853,35792,SHREECEM
2024-04-19,24277.212890625,24440.297200801877,23893.958729765258,24298.383068575276,35614,SHREECEM
2024-04-22,24304.7578125,24582.31089099098,24265.355599706927,24441.741307839868,25584,SHREECEM
2024-04-23,24286.17578125,24477.703600427132,24208.717846576285,24477.703600427132,18872,SHREECEM
2024-04-24,24277.609375,24505.500091562186,24208.718742999623,24407.967456933777,17535,SHREECEM
2024-04-25,23881.552734375,24407.96824269344,23690.672849438775,24359.152306208052,48298,SHREECEM
2024-04-26,24049.818359375,24203.737993869872,23861.030199266403,23949.69587868416,15713,SHREECEM
2024-04-29,24054.453125,24204.63685754787,23959.660151086562,24159.157945068062,25281,SHREECEM
2024-04-30,24353.025390625,24930.945923659616,24084.1894397489,24084.1894397489,74531,SHREECEM
2024-05-02,24733.939453125,25277.24248173868,24380.224314322128,24407.918720189395,98202,SHREECEM
2024-05-03,25649.8359375,25798.525291899263,24834.26074111317,24906.089514114225,221844,SHREECEM
