Date,Close,High,Low,Open,Volume,Ticker
,SYNGENE.NS,SYNGENE.NS,SYNGENE.NS,SYNGENE.NS,SYNGENE.NS,
2024-01-01,708.5057983398438,710.6520537310878,700.0705991221979,701.0688461082351,487675,SYNGENE
2024-01-02,720.4348754882812,723.0302933292749,706.7588793380565,713.6967082064566,1508789,SYNGENE
2024-01-03,722.3814697265625,728.7203138386891,712.8481620838145,721.5329232151956,696719,SYNGENE
2024-01-04,727.6222534179688,731.9147032777487,718.7378308596889,726.7238067581299,864004,SYNGENE
2024-01-05,722.3314819335938,732.0643898750978,716.2920999606514,731.5153662281322,771509,SYNGENE
2024-01-08,712.6984252929688,725.725535862503,706.8586440527231,719.9856158745945,612583,SYNGENE
2024-01-09,720.3849487304688,726.7237926051426,712.0994501546681,713.3472588644984,979691,SYNGENE
2024-01-10,714.5950927734375,724.7273242258208,711.051328098186,720.384974133749,526606,SYNGENE
2024-01-11,741.1983642578125,743.693981645886,715.493505160656,718.3384846117963,1638413,SYNGENE
2024-01-12,730.6170043945312,748.485589155323,723.0302906301239,748.485589155323,984412,SYNGENE
2024-01-15,732.8130493164062,737.7044836605198,718.5880305178102,732.7132489943458,1001921,SYNGENE
2024-01-16,715.9427490234375,725.8253576069402,709.9532671201653,725.8253576069402,2106087,SYNGENE
2024-01-17,701.3682861328125,710.2527084025762,697.3253981511492,708.0565529161917,2730217,SYNGENE
2024-01-18,695.4287719726562,706.5092889038764,683.1003854080419,701.1686920167357,1588610,SYNGENE
2024-01-19,694.7799072265625,700.6695888573626,690.7869192539961,698.7728951991289,651806,SYNGENE
2024-01-23,679.906005859375,689.5391137598214,678.8079585330127,683.799193522226,957686,SYNGENE
2024-01-24,694.4305419921875,696.7763980441376,679.0076138326557,680.305322732206,812877,SYNGENE
2024-01-25,684.0986328125,698.5233136399282,678.8079360845319,698.0740903201228,2081246,SYNGENE
2024-01-29,682.05224609375,683.7991783010885,661.3386213495929,661.3386213495929,2379976,SYNGENE
2024-01-30,715.5933227539062,719.1371482730186,681.8525870385398,682.3517105281995,1884946,SYNGENE
2024-01-31,749.184326171875,752.1291668214733,714.34548370148,717.240424189863,2208093,SYNGENE
2024-02-01,745.2911376953125,753.5266749134337,737.8042856788387,748.685201647377,929158,SYNGENE
2024-02-02,742.7456665039062,755.0740534832422,738.4532165991346,746.1896308318393,2037994,SYNGENE
2024-02-05,740.2001342773438,749.8831421507576,737.9041784132955,740.6992577664047,695607,SYNGENE
2024-02-06,768.5004272460938,770.1475591645021,733.511882142399,733.511882142399,1530997,SYNGENE
2024-02-07,750.981201171875,771.6449261270146,749.733392429755,771.6449261270146,545031,SYNGENE
2024-02-08,734.0609130859375,755.2237618447564,726.5740605246687,751.1808736473037,760730,SYNGENE
2024-02-09,746.9882202148438,750.6318461473296,721.1835595566386,729.6686590827699,1034372,SYNGENE
2024-02-12,738.552978515625,754.6247909006998,735.1090752949702,754.6247909006998,1039026,SYNGENE
2024-02-13,744.2430419921875,747.1878828409874,732.1642776094429,739.0521453833445,363973,SYNGENE
2024-02-14,748.6353149414062,751.6799559638619,733.961072539747,738.7027455687355,297786,SYNGENE
2024-02-15,750.531982421875,760.4146520910741,745.6406086797942,753.2771616713012,315961,SYNGENE
2024-02-16,763.3594970703125,772.6431820331403,750.9812098344341,754.2754127659972,964364,SYNGENE
2024-02-19,761.9119873046875,771.5949949398515,760.6641786127375,768.6501542412176,340602,SYNGENE
2024-02-20,753.7762451171875,765.7053083164425,749.6834570067892,756.172062160643,320180,SYNGENE
2024-02-21,746.5889282226562,763.7587272488731,744.7920349461904,760.9137477747345,296705,SYNGENE
2024-02-22,746.8385009765625,750.1826039816638,737.405054848646,747.9365482811198,310022,SYNGENE
2024-02-23,743.1948852539062,751.3805227707434,737.654626636101,744.6922557413218,460750,SYNGENE
2024-02-26,729.468994140625,746.0398699441594,727.4225999793695,743.1449902054588,376301,SYNGENE
2024-02-27,726.2246704101562,735.6082162959981,720.5346504975994,729.7185348038821,608881,SYNGENE
2024-02-28,707.6572875976562,729.718520832971,700.7693592677779,726.7736801432937,612372,SYNGENE
2024-02-29,704.812255859375,707.8568969101107,694.3306627505689,703.7142085716209,1081264,SYNGENE
2024-03-01,704.3131103515625,709.7535683140031,700.0206607316381,709.0048831153597,541119,SYNGENE
2024-03-04,695.8779296875,712.4987659007926,694.7798824055365,710.0031485070946,1099072,SYNGENE
2024-03-05,691.6853637695312,699.272016522566,683.998849760596,698.7728930275463,384800,SYNGENE
2024-03-06,686.8937377929688,691.6853721457122,677.4103912727534,688.7904314682766,2102975,SYNGENE
2024-03-07,689.9883422851562,693.2326450525512,682.5014897450138,688.790433693101,822173,SYNGENE
2024-03-11,683.9489135742188,698.0740711824293,680.9042116724296,692.5338128651397,943054,SYNGENE
2024-03-12,692.4839477539062,697.2755211106233,680.9542072282604,681.802692796787,1064897,SYNGENE
2024-03-13,669.2747192382812,696.1774883111818,664.083822606868,695.7781651363953,771428,SYNGENE
2024-03-14,675.3639526367188,678.3087932847344,659.1923400813849,668.8254473889212,909994,SYNGENE
2024-03-15,672.5189819335938,686.6941007993814,670.7221496104734,674.6651763177082,951250,SYNGENE
2024-03-18,680.804443359375,683.3000608203698,668.8753797101879,676.0128700198972,482723,SYNGENE
2024-03-19,673.2677001953125,680.8044528469151,660.889413045013,680.8044528469151,747700,SYNGENE
2024-03-20,674.8648681640625,677.7598088181672,663.8841512291514,671.8202270177421,378448,SYNGENE
2024-03-21,684.0487060546875,691.7352195706671,676.1625309678726,677.7597626063977,889143,SYNGENE
2024-03-22,697.2255859375,700.4199883242999,685.1967225218573,687.991801762248,613191,SYNGENE
