Date,Close,High,Low,Open,Volume,Ticker
,VEDL.NS,VEDL.NS,VEDL.NS,VEDL.NS,VEDL.NS,
2024-01-01,233.8299560546875,236.69428796940642,232.78425110170062,235.10298937789088,6352734,VEDL
2024-01-02,234.7392578125,235.8758996068178,230.14723606347368,234.1482096294635,5803881,VEDL
2024-01-03,239.8768768310547,243.01401933123233,232.64785155897346,235.0575266496672,22285124,VEDL
2024-01-04,242.01377868652344,246.10568937246893,241.28633899792902,245.5146411567303,10745140,VEDL
2024-01-05,241.74098205566406,246.65126905081436,239.24037011137008,242.01376498593316,12327980,VEDL
2024-01-08,235.0120849609375,243.3322979283492,234.42100898643932,241.74099930479875,7890414,VEDL
2024-01-09,236.7852020263672,240.42245559896895,232.46596340890255,238.14917211609284,10284498,VEDL
2024-01-10,242.83213806152344,243.87787069606767,229.10151372471557,232.465970608568,19849401,VEDL
2024-01-11,249.69749450683594,250.97052786629345,242.37750412737478,244.24161346626434,24108269,VEDL
2024-01-12,247.83338928222656,250.06121851079587,245.69652470589872,249.6974986520622,10048702,VEDL
2024-01-15,248.24258422851562,250.06121121920074,245.24186079390347,249.15189772385818,9881531,VEDL
2024-01-16,248.42445373535156,252.83460191152835,244.92359128876114,251.8798338579333,12507371,VEDL
2024-01-17,240.83169555664062,247.74248398016482,239.69505363665465,245.92385690818722,10649774,VEDL
2024-01-18,243.28677368164062,244.51435224400254,234.60284236093258,241.42269242956434,9930238,VEDL
2024-01-19,242.28659057617188,245.2418594194727,241.78645150650905,243.83240685956346,4537034,VEDL
2024-01-23,229.2833709716797,242.78668067138915,227.9194008555483,242.65028920978463,8740319,VEDL
2024-01-24,238.74024963378906,239.42223476252778,230.1472536617085,231.6930838451784,6563186,VEDL
2024-01-25,239.6950225830078,242.60480887116697,237.0125368993511,240.37700764664496,5195068,VEDL
2024-01-29,243.51414489746094,244.74172367598615,236.8761674284666,239.83143631193116,11648515,VEDL
2024-01-30,242.10470581054688,246.69672762825036,241.19539236149316,243.83239581374005,6620878,VEDL
2024-01-31,249.01547241210938,251.7888670960233,241.65002855067863,242.60479649103146,9537630,VEDL
2024-02-01,244.15066528320312,251.42517300113843,241.01352272982567,250.4704049631773,7974578,VEDL
2024-02-02,247.83338928222656,251.69797175012067,244.37800899918687,245.69652470589872,9665486,VEDL
2024-02-05,248.78814697265625,254.47135561261075,246.92403788872588,248.1061619358617,10619393,VEDL
2024-02-06,257.3357238769531,258.6996941448522,245.3782567450474,248.8791193159975,11559491,VEDL
2024-02-07,256.69921875,259.9272986871975,252.42546147053912,259.1543765754714,7603119,VEDL
2024-02-08,253.3347625732422,259.60902056759846,251.51613545893326,258.2450502318668,6966850,VEDL
